ID;Type;Code gare;Commune;Département;Code département;Latitude;Longitude;Intitulé gare
0;TrainStation;Gare00753;Paris;Paris;75.0;48.844888;2.37352;Paris Gare de Lyon
1;TrainStation;Gare00761;Bagneaux-sur-Loing;Seine-et-Marne;77.0;48.2304802;2.7033327;Bagneaux-sur-Loing
2;TrainStation;Gare00799;Samoreau;Seine-et-Marne;77.0;48.4305468;2.7531008;Vulaines-sur-Seine - Samoreau
3;TrainStation;Gare00806;Moret-Loing-et-Orvanne;Seine-et-Marne;77.0;48.37838;2.79941;Moret - Veneux-les-Sablons
4;TrainStation;Gare00810;Savigny-le-Temple;Seine-et-Marne;77.0;48.595519;2.583678;Savigny-le-Temple - Nandy
5;TrainStation;Gare00812;Cesson;Seine-et-Marne;77.0;48.56563;2.5938;Cesson
6;TrainStation;Gare00825;Villabé;Essonne;91.0;48.592637;2.461572;Villabé
7;TrainStation;Gare00828;Maisse;Essonne;91.0;48.39304;2.39312;Maisse
8;TrainStation;Gare00832;Mennecy;Essonne;91.0;48.5709075;2.433165;Mennecy
9;TrainStation;Gare00843;Maisons-Alfort;Val-de-Marne;94.0;48.78934;2.43148;Le Vert de Maisons
10;TrainStation;Gare00844;Alfortville;Val-de-Marne;94.0;48.802071;2.426977;Maisons-Alfort - Alfortville
11;TrainStation;Gare01069;Créteil;Val-de-Marne;94.0;48.7715403;2.4352763;Créteil Pompadour
12;TrainStation;Gare01437;Antony;Hauts-de-Seine;92.0;48.748143;2.3126207;Chemin d'Antony
13;TrainStation;Gare01438;Rungis;Val-de-Marne;94.0;48.74032;2.35298;Rungis La Fraternelle
14;TrainStation;Gare01450;Breuillet;Essonne;91.0;48.564776;2.171207;Breuillet Village
15;TrainStation;Gare01469;Lardy;Essonne;91.0;48.533149;2.290596;Bouray
16;TrainStation;Gare01470;Lardy;Essonne;91.0;48.520639;2.255739;Lardy
17;TrainStation;Gare01828;Sevran;Seine-Saint-Denis;93.0;48.930895;2.51502;Rougemont Chanteloup
18;TrainStation;Gare01940;Méré;Yvelines;78.0;48.80224;1.8153507;Montfort-l'Amaury - Méré
19;TrainStation;Gare01954;Massy;Essonne;91.0;48.7264211;2.2575281;Massy - Palaiseau
20;TrainStation;Gare01961;Jouy-en-Josas;Yvelines;78.0;48.770943;2.1470148;Petit Jouy - Les Loges
21;TrainStation;Gare01966;Orgerus;Yvelines;78.0;48.8267809;1.7028344;Orgerus - Béhoust
22;TrainStation;Gare01970;Fontenay-le-Fleury;Yvelines;78.0;48.8074032;2.0404603;Fontenay-le-Fleury
23;TrainStation;Gare01976;Perray-en-Yvelines;Yvelines;78.0;48.6933406;1.856057;Le Perray-en-Yvelines
24;TrainStation;Gare01982;Chaville;Hauts-de-Seine;92.0;48.8047497;2.1882472;Chaville Rive Gauche
25;TrainStation;Gare01983;Viroflay;Yvelines;78.0;48.7998005;2.1845267;Chaville - Vélizy
26;TrainStation;Gare01984;Versailles;Yvelines;78.0;48.7969381;2.1540156;Porchefontaine
27;TrainStation;Gare01986;Sèvres;Hauts-de-Seine;92.0;48.8214311;2.2147536;Sèvres Rive Gauche
28;TrainStation;Gare01987;Meudon;Hauts-de-Seine;92.0;48.8190033;2.2296743;Bellevue
29;TrainStation;Gare01988;Meudon;Hauts-de-Seine;92.0;48.8147527;2.2410999;Meudon
30;TrainStation;Gare01993;Paris;Paris;75.0;48.8625705;2.3010287;Pont de l'Alma
31;TrainStation;Gare02010;Verneuil-sur-Seine;Yvelines;78.0;48.9922407;1.955265;Les Clairières de Verneuil
32;TrainStation;Gare02013;Poissy;Yvelines;78.0;48.9329014;2.0413676;Poissy
33;TrainStation;Gare02019;Bois-Colombes;Hauts-de-Seine;92.0;48.913408;2.257909;Les Vallées
34;TrainStation;Gare02022;Paris;Paris;75.0;48.876242;2.325331;Paris Saint-Lazare
35;TrainStation;Gare02026;Versailles;Yvelines;78.0;48.8096525;2.1347523;Versailles Rive Droite
36;TrainStation;Gare02030;Cergy;Val-d'Oise;95.0;49.0496151;2.0343975;Cergy Saint-Christophe
37;TrainStation;Gare02032;Étang-la-Ville;Yvelines;78.0;48.86822;2.0766932;L'Étang-la-Ville
38;TrainStation;Gare02033;Marly-le-Roi;Yvelines;78.0;48.8713084;2.0965436;Marly-le-Roi
39;TrainStation;Gare02041;Sèvres;Hauts-de-Seine;92.0;48.82746;2.20051;Sèvres - Ville-d'Avray
40;TrainStation;Gare02052;Cormeilles-en-Parisis;Val-d'Oise;95.0;48.96864;2.19358;Cormeilles-en-Parisis
41;TrainStation;Gare02054;Hardricourt;Yvelines;78.0;49.00564;1.90213;Meulan - Hardricourt
42;TrainStation;Gare02058;Argenteuil;Val-d'Oise;95.0;48.95042;2.23088;Val d'Argenteuil
43;TrainStation;Gare02075;Conflans-Sainte-Honorine;Yvelines;78.0;48.98931;2.07465;Conflans Fin d'Oise
44;TrainStation;Gare02076;Saint-Ouen-l'Aumône;Val-d'Oise;95.0;49.03997;2.10369;Saint-Ouen-l'Aumône Quartier de l'Église
45;TrainStation;Gare02077;Éragny;Val-d'Oise;95.0;49.01824;2.09104;Éragny - Neuville
46;TrainStation;Gare02091;Asnières-sur-Seine;Hauts-de-Seine;92.0;48.9058;2.28324;Asnières-sur-Seine
47;TrainStation;Gare02096;Bois-Colombes;Hauts-de-Seine;92.0;48.91348;2.27256;Bois-Colombes
48;TrainStation;Gare02100;Paris;Paris;75.0;48.8853581;2.2979465;Péreire - Levallois
