;Type;adresse_1;commune_1;departement;code_departement;lat;long;appellation_courante;region
HIST0;Historical;2 avenue Waldeck-Rousseau;Les Lilas;Seine-Saint-Denis;93;48.8817445584;2.42004462295;Mairie;Île-de-France
HIST1;Historical;;Amenucourt;Val-d'Oise;95;49.1060876053;1.6422439746;Eglise;Île-de-France
HIST2;Historical;;Argenteuil;Val-d'Oise;95;48.9410891849;2.24775993898;Chapelle Saint-Jean;Île-de-France
HIST3;Historical;;Auvers-sur-Oise;Val-d'Oise;95;49.0718935049;2.17086239928;Porte crénelée du 17e siècle;Île-de-France
HIST4;Historical;;Châtenay-en-France;Val-d'Oise;95;49.0669802823;2.45781289093;Eglise Saint-Martin;Île-de-France
HIST5;Historical;;Cormeilles-en-Vexin;Val-d'Oise;95;49.1155264719;2.01790217899;Eglise;Île-de-France
HIST6;Historical;;Fontenay-en-Parisis;Val-d'Oise;95;49.0535180943;2.45118610778;Eglise Saint-Aquillin;Île-de-France
HIST7;Historical;;Avernes;Val-d'Oise;95;49.096571121;1.85771749574;Eglise Saint-Martin;Île-de-France
HIST8;Historical;chemin des Moulins;Sannois;Val-d'Oise;95;48.9686837578;2.24254576896;Moulin à vent dit Moulin Trouillet;Île-de-France
HIST9;Historical;"avenue de Condé ; rue de l'Abbaye ; square de l'Abbaye";Saint-Maur-des-Fossés;Val-de-Marne;94;48.8125254156;2.47558492895;Abbaye de Saint-Maur (ancienne);Île-de-France
HIST10;Historical;place de l'Eglise;Vitry-sur-Seine;Val-de-Marne;94;48.7916164026;2.39434207632;Eglise Saint-Germain;Île-de-France
HIST11;Historical;;Magny-en-Vexin;Val-d'Oise;95;49.1563231168;1.78648345293;Croix en pierre de l'ancien cimetière;Île-de-France
HIST12;Historical;;Paris 1er Arrondissement;Paris;75;48.8565395546;2.34255789175;Place Dauphine : le sol;Île-de-France
HIST13;Historical;place des Pyramides;Paris 1er Arrondissement;Paris;75;48.8639094663;2.33220881365;Statue de Jeanne d'Arc;Île-de-France
HIST14;Historical;20 rue Etienne-Marcel;Paris 2e Arrondissement;Paris;75;48.8643424807;2.34803270266;Ancien hôtel des ducs de Bourgogne : Tour de Jean Sans Peur;Île-de-France
HIST15;Historical;"10 place des Victoires ; 8 rue des Petits-Pères";Paris 2e Arrondissement;Paris;75;48.8661531915;2.34103061083;Ancien hôtel Gigault de La Salle, ou hôtel André-d'Arbelles, ou hôtel Biliotti;Île-de-France
HIST16;Historical;4 rue d'Aboukir;Paris 2e Arrondissement;Paris;75;48.8660672603;2.34218757227;Immeuble;Île-de-France
HIST17;Historical;10 rue Bachaumont;Paris 2e Arrondissement;Paris;75;48.8660677844;2.34585214747;Immeuble;Île-de-France
